Region,Place,Latitude,Longitude,Temple,Dynasty,Azimuth,Horizon Altitude,Horizon Confidence,Declination,Comments
Dakhla Oasis,Qila el Dabba,25.55,29.283,Ima-Pepi I,6th,88,2,,2.5,""""
Dakhla Oasis,Qila el Dabba,25.55,29.283,Khentyka,6th,103.25,2,,-11.25,""""
Dakhla Oasis,Qila el Dabba,25.55,29.283,Ima-Pepi II,6th,63,1,,24.5,""""
Dakhla Oasis,Qila el Dabba,25.55,29.283,Khentyka-Pepi,6th,104,2.25,,-11.75,""""
Dakhla Oasis,Qila el Dabba,25.55,29.283,Djeru,6th,66,1,,21.75,""""
Dakhla Oasis,Ain Asil,25.517,29.35,Medunefer,6th,14.25,2,b,62.5,Governor´s Chapel
Dakhla Oasis,Ain Asil,25.517,29.35,West Chapel,6th,29,2,,53.25,""""
Dakhla Oasis,Ain Asil,25.517,29.35,Central Chapel,6th,34,2,,49.5,""""
Dakhla Oasis,Ain Asil,25.517,29.35,East Chapel,6th,34.5,2,,49,""""
Dakhla Oasis,Birbaya,25.517,29.317,Amonnakht,Roman,100.25,1,,-9,Main Axis
Dakhla Oasis,Birbaya,25.517,29.317,,,103,1,,-11.5,Propylon
Dakhla Oasis,Kellis,25.517,30.583,Tutu,Roman,79.25,0.75,,9.75,Main Axis
Dakhla Oasis,Kellis,25.517,30.583,,,259.75,0,,-9.5,Opposite Temple
Dakhla Oasis,Kellis,25.517,30.583,West Temple,Roman,91,0.75,,-0.75,
Dakhla Oasis,Kellis,25.517,30.583,Burial Chapel,Roman,102.5,0,,-11.5,
Dakhla Oasis,Mut,25.483,28.967,Mut el Kharab,Roman,93.25,0,B,-3.25,Mudbrick Enclosure
Kharga Oasis,Aïn Labkha,25.733,30.567,Pyris,Roman,82.75,0,,6.25,
Kharga Oasis,Aïn Labkha,25.733,30.567,Pyris (N chapel),Roman,78,0.25,,9,
Kharga Oasis,Aïn Labkha,25.733,30.567,Noth temple,Roman,90.25,0.25,,-0.25,
Kharga Oasis,Hibis,25.467,30.55,Theban Triad,26th-27th,83,0.5,,6.25,Main Axis
Kharga Oasis,Hibis,25.467,30.55,,Ptolemaic,83.5,0.5,,6,Pylon
Kharga Oasis,Hibis,25.467,30.55,S Enclosure,Ptolemaic ?,352.5,0,b,63,
Kharga Oasis,Hibis,25.467,30.55,North Temple,Ptolemaic ?,184.25,0,b,-61.5,
Kharga Oasis,Hibis,25.467,30.55,South Chapel,Ptolemaic ?,79,0.5,,10,
Kharga Oasis,Nadura,25.467,30.567,Mut,Roman,108,1.5,,-15.75,
Kharga Oasis,Nadura,25.467,30.567,Khonsu,Roman,101.5,2,,-9.5,
Kharga Oasis,Qsar el Ghueida,25.283,30.55,Theban Triad,26th-27th,94,1.25,,-3.25,Inner Sanctuary
Kharga Oasis,Qsar el Ghueida,25.283,30.55,,Ptolemaic,92.5,1.25,,-2,Main Axis
Kharga Oasis,Qsar el Ghueida,25.283,30.55,Manmisi,Ptolemaic,2.5,0,b+,64,
Kharga Oasis,Tchonemyris,25.25,30.567,Amon,Roman,180,0,,-65.25,Qsar el Zaiyan
Kharga Oasis,Kysis,24.583,30.717,Isis & Serapis,Roman,347,0.25,,62,Qsar el Douch
Kharga Oasis,Kysis,24.583,30.717,West temple,Roman,345.5,0.5,,61.75,Main Axis
Kharga Oasis,Kysis,24.583,30.717,,,75.5,1.5,,13.5,⊥ Entrance
Sinai,Serabit el Khadim,29.033,33.467,Speos of Hathor,12th,306.5,0.25,,31,A (see Figure 8.49)
Sinai,Serabit el Khadim,29.033,33.467,Speos of Ptah,12th,303.5,0.25,,28.75,B
Sinai,Serabit el Khadim,29.033,33.467,Hypostile hall,12th,344.25,1,,57.75,E (or hanafiyeh)
Sinai,Serabit el Khadim,29.033,33.467,Kings´chapel,12th,341,1,,56.25,C
Sinai,Serabit el Khadim,29.033,33.467,Access temple,12th,247.5,3.25,,-18.75,D
Sinai,Serabit el Khadim,29.033,33.467,View of stele 66,12th,242.5,2.5,,-23,F
Sinai,Serabit el Khadim,29.033,33.467,View of stele 82,12th,236.5,2,,-28,G
Sinai,Serabit el Khadim,29.033,33.467,Thutmose III,18th,251,2.5,,-15.5,−15.5   D’  if h~0º → δ~−17º
Sinai,Serabit el Khadim,29.033,33.467,Ramses IV,20th,297,0.25,,23.25,A'
Sinai,Serabit el Khadim,29.033,33.467,Axis of Ramses  VI,20th,249.5,2.25,,-16.75,D''
